question,note,optionD,optionC,optionB,mark,count,optionF,questionid,subject,optionE,year,type,optionA,paperName,answer
依据《安全生产法》，县级以上地方人民政府应组织有关部门制定本行政区域内特大生产安全事故应急救援预案，建立应急救援体系。,,,,,0,2,,1771,,,2016,判断题,,2016B500,n
工作面倾角大于15°时，液压支架必须采取防倒、防滑措施;倾角大于()°时，必须有防止煤(矸)窜出刮板输送机伤人的措施。,,33,30,28,1,,,2598,,,2017,单选题,25,2017B500,A
有关协会组织依照法律、行政法规和章程，为生产经营单位提供安全生产方面的信息、培训等服务，发挥自律作用，促进生产经营单位加强安全生产管理。,,,,,0,,,1725,,,2016,判断题,,2016B500,y
"使用掘进机、掘锚一体机、连续采煤机掘进时,应当使用内、外喷雾装置,内喷雾装置的工作压力不得小于（）MPa,外喷雾装置的工作压力不得小于（）MPa。",,4,3,2,0,4,,2836,,,2017,多选题,1.5,2017B500,"B,D"
滚筒驱动的带式输送机可以不使用阻燃输送带。（）,必须使用阻燃输送带,,,,0,,,2476,,,2017,判断题,,2017B500,n
对(        )损伤的伤员，不能用一人抬头、一人抱腿或人背的方法搬运。,,,头部,脊柱,0,,,385,,,2012,单选题,面部,应急管理,B
煤矿井下作业场所常见职业病危害因素有(        ).,,不良气象条件和放射性物质,噪声和振动,有害气体,0,1,,649,,,2012,多选题,粉尘,职业防护,ABCD
《安全生产法》第十八条规定，生产经营单位的主要负责人对本单位安全生产工作负有七个方面的职责，其中最重要的一条是(        )。,,组织制定并实施本单位安全生产教育和培训计划,及时如实报告生产安全事故,建立健全本单位安全生产责任制,0,,,2162,,,2016,单选题,保证安全生产投入的有效实施,2016B500,B
根据《安全生产法》的规定和要求，从业人员有义务(        )。,,增强事故预防和应急处理能力,提高安全生产技能,掌握本职工作所需的安全生产知识,0,1,,717,,,2012,多选题,接受安全生产教育和培训,法律法规,ABCD
井巷中采用钢丝绳牵引带式输送机运送人员时，运行速度不得超过(        )m／s。,,,1.8,1.5,0,,,102,,,2012,单选题,1.2,机电运输,C
发生火灾或爆炸事故后，遇险人员在撤退有困难时应在现场指挥的带领下，可以迅速转入独头巷道，关闭局部通风机，或者切断风筒堵住人口。,,,,,0,3,,1461,,,2012,判断题,,应急管理,n
爆破工接到起爆命令后，必须先发出爆破警号，至少再等(        )S，方可起爆。,,,15,10,0,,,168,,,2012,单选题,5,爆破安全,A
《煤矿领导带班下井及安全监督检查规定》要求煤矿领导带班下井时，应当履行哪些职责？(        ) ,,,遇到险情时，立即下达停产撤人命令，组织涉险区域人员及时有序撤离到安全地点,及时发现和组织消除事故隐患和险情，及时制止违章违纪行为，严禁违章指挥，严禁超能力组织生产,1,3,,2334,,"  ",2016,多选题,加强对重点部位关键环节的检查巡视，全面掌握当班井下的安全生产状况,2016B500,A，B，C
采煤工作面的推进方式一般采用前进式。,,,,,0,,,1180,,,2012,判断题,,开采安全,n
安全检查要(        ),,查隐患,查管理,查制度,1,2,,610,,,2012,多选题,查思想,安全管理,ABCD
锚杆钻车作业时必须有防护操作台，支护作业时必须将临时支护顶棚升至顶板，班组长可以在锚杆钻车周围停留或作业。,,,,,0,,,2558,,,2017,判断题,,2017B500,n
断盘是指断层面两侧相对位移的岩体，位于断层面上方的岩体为(        )。,,,上升盘,上盘,0,,,254,,,2012,单选题,顶盘,地质安全,B
专项应急预案应当包括危险性分析、可能发生的事故特征、应急处置程序、应急处置要点和注意事项等内容。,,,,,0,,,1020,,,2012,判断题,,安全管理,n
《国务院关于预防煤矿生产安全事故的特别规定》规定：关闭煤矿应当达到的要求包括(        )。,,妥善遣散从业人员,封闭、填实矿井井筒，平整井口场地，恢复地貌,停止车辆通行,0,2,,839,,,2012,多选题,停止一切物资供应,法律法规,CD
井下爆炸材料库的最大贮存量，不得超过该矿井3天的炸药需要量和(        )天的电雷管需要量。,,,3,5,0,1,,93,,,2012,单选题,10,爆破安全,A
“三量”是指(        )。,,掘进煤量,准备煤量,回采煤量,1,2,,736,,,2012,多选题,开拓煤量,开采安全,ABC
电气设备着火时，应首先切断电源；在切断电源前，只准使用不导电的灭火器材进行灭火。,,,,,0,,,1270,,,2012,判断题,,一通三防,y
《山西省煤矿安全质量标准化标准》中通风专业标准要求瓦斯检查工应持证上岗，瓦斯检查要做到井下记录牌、瓦检手册、(        )“三对口”。,,,瓦斯调度台账,人员调度台账,0,,,2217,,,2016,单选题,瓦检设备,2016B500,C
建设项目安全设施的设计人、设计单位应当对安全设施设计负责。,,,,,0,,,1534,,,2012,判断题,,法律法规,y
《煤矿安全规程》第四十七条规定：由下向上掘进25°以上的倾斜巷道时，必须将溜煤<矸>道与(        )分开。,,,轨道,人行道,0,,,409,,,2012,单选题,绕道,开采安全,B
关于对烧伤人员的急救正确的是(        ),,用较干净的衣服把伤面包裹起来，防止感染，并把严重伤员尽快送往医院；搬运时，动作要轻、稳,防止休克、窒息、疮面污染,立即检查伤员伤情，检查呼吸、心跳,0,,,877,,,2012,多选题,迅速扑灭伤员身上的火，尽快脱离火源，缩短烧伤时间,应急管理,ABCD
根据《煤矿重大安全生产隐患认定办法<试行>》之规定，有冲击地压危险的矿井配备专业人员并编制专门设计，属于煤矿重大安全生产隐患。,,,,,0,1,,1624,,,2012,判断题,,法律法规,n
矿井掘进工作面正常工作的局部通风机必须配备同等能力的备用局部通风机，并能自动切换。正常工作的局部通风机必须采用“三专”供电。,,,,,0,,,2039,,,2016,判断题,,2016B500,y
开采有瓦斯喷出或有煤<岩>与瓦斯<二氧化碳>突出危险的煤层时，两个工作面之间可以串联通风。,,,,,0,,,1252,,,2012,判断题,,一通三防,n
下列能影响尘肺病发生的有(        ),,身体强弱,接触矿尘时间,粉尘浓度,0,6,,650,,,2012,多选题,粉尘成分,一通三防,ABCD
以下对国家安全监管总局提出的煤矿长周期“零死亡”四最要求表述正确的是：(        )。,,党政领导要把追求“零死亡”作为最过硬的业绩,矿工要做自己生命的主人，把追求“零死亡”作为最强烈的意识和自觉行为,矿长要把保护矿工生命安全追求“零死亡”作为最神圣的职责,0,1,,2329,,"  ",2016,多选题,煤矿要把追求“零死亡”作为最过硬的业绩,2016B500,B，C，D
《煤矿安全规程》规定：在坚硬和稳定的煤、岩层中，确定巷道不设支护时，必须制定(        )措施。,,,技术,安全,0,,,304,,,2012,单选题,过渡,开采安全,B
在掘进工作面应全断面一次起爆，不能全断面一次起爆的必须采取安全措施。,,,,,0,2,,1296,,,2012,判断题,,爆破安全,y
只有在局部通风机及其开关附近(        )m以内风流中的瓦斯浓度都不超过0.5％时，方可人工开启局部通风机。,,,15,10,0,,,167,,,2012,单选题,5,一通三防,B
入井人员必须随身携带自救器、标识卡和矿灯，严禁携带烟草和点火物品，可以穿化纤衣服。,严禁穿化纤衣服,,,,0,,,2387,,,2017,判断题,,2017B500,n
未取得煤炭生产许可证，擅自从事煤炭生产的，由煤炭管理部门责令停止生产，没收违法所得，可以并处违法所得一倍以上五倍以下罚款；拒不停止生产的，由县级以上地方人民政府强行停产。,,,,,0,,,1532,,,2012,判断题,,法律法规,y
采煤工作面采用倒悬臂支架主要是为了支护采煤机机道上方顶板。,,,,,0,,,1155,,,2012,判断题,,开采安全,n
"“超层越界开采”,是指有下列（）情形之一。",,擅自开采保安煤柱,超出采矿许可证载明的坐标控制范围开采,超出采矿许可证规定开采煤层层位进行开采,0,,,2796,,,2017,多选题,工作面煤层回采率超过90%,2017B500,"B,C,D"
修订后的《煤矿安全规程》已经2015年()国家安全生产监督管理总局第13次局长办公会议审议通过。,,12月31日,10月31日,12月22日,1,,,2584,,,2017,单选题,10月22日,2017B500,B
有冲击地压的矿井应该制定具有针对性的专项预案。,,,,,0,2,,1448,,,2012,判断题,,应急管理,y
从业人员接受安全生产教育和培训的目的是(        )。,,掌握安全生产知识,增强事故预防能力,服从管理,0,,,2281,,增强事故应急处理能力,2016,多选题,提高安全生产技能,2016B500,A，C，D，E
煤矿对重大危险源应当登记建档，进行定期检测、评估、监控，并制定(        )，告知从业人员和相关人员在紧急情况下应当采取的应急措施。,,,应急预案,管理制度,0,,,502,,,2012,单选题,预防办法,法律法规,C
所有爆破人员，包括(        )、装药人员，必须熟悉爆炸材料性能和本规程规定。,,护送人员,送药人员,爆破人员,0,1,,582,,,2012,多选题,班<组>长,爆破安全,BC
下列属于矿井下防治水措施的有(        ).,,建设防水闸门和防水闸墙,含水层的疏放降压,井下探放水,0,,,761,,,2012,多选题,留设防隔水煤<岩>柱,地质安全,ABCD
煤矿企业必须加强安全生产管理，建立健全各级负责人、各部门、各岗位安全生产与职业病危害防治责任制。,,,,,0,,,2390,,,2017,判断题,,2017B500,y
柴油机单轨吊车运行巷道坡度不大于（）°，蓄电池单轨吊车不大于15°，钢丝绳单轨吊车不大于25°。,,,25,20,0,,,2672,,,2017,单选题,15,2017B500,C
开采底板有承压含水层的煤层，应当保证隔水层能够承受的水头值大于实际水头值，制定专项安全技术措施。专项安全技术措施由煤矿企业主要负责人审查，报煤矿企业技术负责人审批。,,,,,0,,,1026,,,2012,判断题,,安全管理,n
《煤矿安全规程》第八十一条规定：防治冲击地压的措施中，必须规定发生冲击地压时的(        )。,,,急救措施，,作业方法,0,,,239,,,2012,单选题,撤人路线,开采安全,A
开动掘进机前，必须做到(        )时，才可开动掘进机。,,截割臂附近无人,铲板前方无人,发出警报,0,,,890,,,2012,多选题,有专人放哨,机电运输,BCD
根据《安全生产法》的规定，股份有限公司安全投入的保障主体是(        )。,,执行总裁,监事会,股东大会,0,,,2144,,,2016,单选题,董事会,2016B500,A
《煤矿安全规程》第五十五条规定：采煤工作面开工前，班组长必须对工作面安全情况进行(        )，确认无危险后，方准人员进入工作面。,,,一般检查,重点检查,0,,,405,,,2012,单选题,全面检查,开采安全,A
煤矿1个月内3次或者3次以上未依照国家有关规定对井下作业人员进行安全生产教育和培训或者特种作业人员无证上岗的，负责煤矿有关证照颁发的部门应当责令该煤矿立即停止生产，并提请县级以上地方人民政府予以关闭。,,,,,0,,,1664,,,2012,判断题,,法律法规,y
"各种车辆的两端必须装置碰头,每端突出的长度不得小于（）.",,,200mm,150mm,0,,,2663,,,2017,单选题,100mm,2017B500,A
任何单位和个人可以依法对事故的调出处理提出质疑。,,,,,0,,,1748,,,2016,判断题,,2016B500,n
排除井筒和下山的积水及恢复被淹井巷前，应当制定可靠的安全措施，防止被水封住的有毒、有害气体突然涌出。,,,,,0,,,1065,,,2012,判断题,,地质安全,y
发生透水事故时，应沿来上班的路线撤退。,,,,,0,,,1083,,,2012,判断题,,地质安全,n
《煤矿安全规程》规定：粉尘监测的项目是(        ),,粉尘分散度,粉尘中游离二氧化硅含量,呼吸性粉尘浓度,0,,,931,,,2012,多选题,作业场所的粉尘浓度,职业防护,ABCD
每一提升装置，必须装有从井底信号工发给井口信号工和从井口信号工发给绞车司机的信号装置。,,,,,0,,,1434,,,2012,判断题,,机电运输,y
使用的矿用防爆型柴油动力装置，排气口的排气温度不得超过77℃，其表面温度不得超过150℃。冷却水温度不超过95℃。,,,,,0,,,2463,,,2017,判断题,,2017B500,y
"使用的单轨吊车、卡轨车、齿轨车、胶套轮车、无极绳连续牵引车,在最大载荷最大坡度上以最大设计速度向下运行时，制动距离应不超过相当于在这一速度下()的行程。",,,6s,5s,0,,,2652,,,2017,单选题,4s,2017B500,C
煤矿发生1起较大生产安全责任事故或者1年内发生(        )起一般生产安全责任事故的，考核发证部门有权责令负有事故责任的矿长和安全生产管理人员参加复训；经复训考核合格的，方可重新上岗；经复训考核不合格的，应当暂停或者撤销其安全资格证和矿长资格证。,,,4,3,0,,,118,,,2012,单选题,2,法律法规,A
根据《煤矿重大安全生产隐患认定办法<试行>》之规定，超出采矿许可证载明的坐标控制范围开采的，属于煤矿重大安全生产隐患。,,,,,0,,,1622,,,2012,判断题,,法律法规,y
煤炭生产实行安全生产许可证制度。未取得安全生产许可证的，不得从事煤炭生产活动。,,,,,0,,,2384,,,2017,判断题,,2017B500,y
依据《安全生产法》的规定，负有安全生产监督管理职责的部门依法对生产经营单位执行有关安全生产的法律、法规和国家标准或者行业标准的情况进行监督检查，可以依法行使的职权有(        )。,,查封扣押权,紧急处置权,当场处理权,0,1,,2298,,责令关闭权,2016,多选题,现场检查权,2016B500,A，B，C，D
瓦斯的密度比空气小，所以瓦斯易在巷道上部积聚。,,,,,0,,,1246,,,2012,判断题,,一通三防,y
从安全生产角度解释，危险源是指可能造成人员伤害、职业相关病症、财产损失、作业环境破坏或其他损失的根源或状态。,,,,,0,,,979,,,2012,判断题,,安全管理,y
生产经营单位主要负责人在安全生产工作中居于全面领导和决策的地位，其安全生产职责不包括(        )。,,对本单位违法犯罪行为承担相应的法律责任,督促检查本单位的安全生产工作,督促落实本单位安全生产整改措施,0,1,,2316,,如实记录安全生产教育和培训情况,2016,多选题,组织制定并实施本单位安全生产教育和培训计划,2016B500,B，D，E
事故预防措施应坚持(        )的原则。,,,只考虑效益,只考虑成本,0,,,249,,,2012,单选题,低成本高效益,安全管理,A
排水系统集中控制的主要泵房可不设专人值守，但必须实现图像监视和专人巡检。（）,,,,,0,,,2506,,,2017,判断题,,2017B500,y
在突出矿井的突出危险区，掘进工作面进风侧必须设置至少2道牢固可靠的反向风门。,,,,,0,,,1835,,,2016,判断题,,2016B500,y
突出煤层的掘进巷道长度及采煤工作面推进长度超过500m时，应当在距离工作面500m范围内建设临时避难硐室或者其他临时避险设施。,,,,,0,,,2378,,,2017,判断题,,2017B500,y
《山西省煤矿建设标准》要求施工队伍的全体从业人员必须接受入场安全培训，时间不得少于(        )。,,45天,30天,15天,0,,,2183,,,2016,单选题,7天,2016B500,7
采煤工作面过褶曲时需事先挑顶或卧底，使采煤工作面底板起伏变化乎缓.,,,,,0,,,1152,,,2012,判断题,,开采安全,y
《山西省煤矿安全质量标准化标准》中通风专业标准要求密闭前5m内支护完好，无片帮、漏顶、杂物、积水和淤泥，导电体可以进入密闭。,,,,,0,,,1828,,,2016,判断题,,2016B500,n
下列现象中，煤与瓦斯突出的前兆是(        )。,,,煤壁挂红,有水气,0,,,448,,,2012,单选题,瓦斯涌出量增大，工作面温度降低,一通三防,A
生产经营单位应当具备(        )安全生产条件。,,地方标准,行政法规规定的,国家标准或者行业标准,0,1,,2326,,地方政府规定的,2016,多选题,安全生产法和有关法律规定的,2016B500,A，B，C
生产经营单位应当制定本单位的应急预案演练计划，根据本单位的事故预防重点，每年至少组织一次综合应急预案演练或者专项应急预案演练，每半年至少组织一次现场处置方案演练。,,,,,0,,,1022,,,2012,判断题,,安全管理,y
停风的独头巷道口的栅栏内侧1m处瓦斯浓度超过(        )％，应采用木板密闭予以封闭。,,,3,2,1,,,57,,,2012,单选题,1,一通三防,C
未取得煤炭生产许可证，擅自从事煤炭生产的，由煤炭管理部门责令停止生产(        )，可以并处违法所得一倍以上五倍以下的罚款；拒不停止生产的，由县级以上地方人民政府强制停产。,,,暂扣违法所得,没收违法所得,0,,,391,,,2012,单选题,批评教育,法律法规,B
在使用减少风量的方法控制火势时，瓦斯浓度上升接近2％，就应立即停止使用此方法，恢复正常通风，甚至增加灾区风量。,,,,,0,,,1464,,,2012,判断题,,应急管理,y
在褶曲构造中，向斜轴部的残存应力要比背斜轴部的大，因此，有瓦斯突出的矿弗，向斜轴部是瓦斯突出的重点防治区域。,,,,,0,,,1092,,,2012,判断题,,地质安全,y
井下用机车运送爆破材料时，列车的行驶速度 不得超过 2m／S. ,,,,,1,,,2058,,,2016,判断题,,2016B500,y
《煤矿安全规程》第四十八条规定：(        )在采煤工作面范围内再布置另一个采煤工作面同时作业。,,,经批准,严禁,0,,,354,,,2012,单选题,可以,开采安全,B
《山西省煤矿安全质量标准化》中运输安全质量标准化所要求的机电“四率”是指专用车辆完好率和(        )。,,淘汰率,待修率,矿车完好率,0,,,2353,,,2016,多选题,设备综合完好率,2016B500,A，B，C
根据《矿山安全法》之规定，作为矿山企业安全工作人员，必须具备(        )。,,社会工作经验,矿山安全工作经验,市场经济知识,0,,,593,,,2012,多选题,必要的安全专业知识,法律法规,AC
工作面煤层注水用水量是工作面平均小时产量与吨煤注水量的乘积,错误原因：不全面正确为：再乘以注水系数,,,,0,,,1838,,,2016,判断题,,2016B500,n
煤矿企业工作场所职业病危害因素的强度或者浓度超过国家职业卫生标准的，由煤矿安全监察机构给予警告，责令限期改正，逾期不改正的，处(        )以下的罚款。,,,5万元以上20万元,5万元以上10万元,0,,,136,,,2012,单选题,2万元以上5万元,职业防护,C
举报人举报的事项应当客观真实，对其提供材料内容的真实性负责，不得捏造、歪曲事实，不得诬告、陷害他人。,,,,,0,5,,1671,,,2012,判断题,,法律法规,y
地面变电所和井下中央变电所的高压馈电线上，必须装设（）的单相接地保护装置。,,,有选择性,有漏电保护,0,,,2712,,,2017,单选题,有漏电闭锁,2017B500,C
立井中，用罐笼升降人员时的加速度和减速度都不得超过0.5m／s2。,,,,,0,,,1357,,,2012,判断题,,机电运输,n
有下列(        )情形之一，即属于“通风系统不完善、不可靠”。,,煤巷、半煤岩巷和有瓦斯涌出的岩巷的掘进工作面未装备甲烷风电闭锁装置或者甲烷断电仪和风电闭锁装置的,风门、风桥、密闭等通风设施构筑质量不符合标准、设置不能满足通风安全需要,对角式通风,0,1,,596,,,2012,多选题,并联通风,法律法规,CD
